bbl,bldg,m,og_address,zip code,cd,fc,ss,sa,cc,bin,dev_name,boro,units,transfer,new_address
3017940112,1,M,346 CLIFTON PLACE,11216,03,08,25,56,36,3050196,ARMSTRONG I,brooklyn,371, 02/12/2020,346 CLIFTON PLACE
3017940011,1,M,344 CLIFTON PLACE,11216,03,08,25,56,36,3050169,ARMSTRONG I,brooklyn,371, 02/12/2020,344 CLIFTON PLACE
3018020051,10,M,360 NOSTRAND AVENUE,11216,03,08,25,57,36,3350437,ARMSTRONG I,brooklyn,371, 02/12/2020,360 NOSTRAND AVENUE
3018020051,11,,260 LEXINGTON AVENUE,11216,03,08,25,57,36,3050588,ARMSTRONG I,brooklyn,371, 02/12/2020,260 LEXINGTON AVENUE
3018020051,11,,262 LEXINGTON AVENUE,11216,03,08,25,57,36,3050588,ARMSTRONG I,brooklyn,371, 02/12/2020,262 LEXINGTON AVENUE
3018020051,11,,264 LEXINGTON AVENUE,11216,03,08,25,57,36,3050588,ARMSTRONG I,brooklyn,371, 02/12/2020,264 LEXINGTON AVENUE
3018020051,12,M,254 LEXINGTON AVENUE,11216,03,08,25,57,36,3399677,ARMSTRONG I,brooklyn,371, 02/12/2020,254 LEXINGTON AVENUE
3018020044,12,M,252 LEXINGTON AVENUE,11216,03,08,25,57,36,3050587,ARMSTRONG I,brooklyn,371, 02/12/2020,252 LEXINGTON AVENUE
3018020044,12,,252A LEXINGTON AVENUE,11216,03,08,25,57,36,3050587,ARMSTRONG I,brooklyn,371, 02/12/2020,252A LEXINGTON AVENUE
3018020043,12,M,250 LEXINGTON AVENUE,11216,03,08,25,57,36,3050586,ARMSTRONG I,brooklyn,371, 02/12/2020,250 LEXINGTON AVENUE
3017940121,2,M,366 CLIFTON PLACE,11216,03,08,25,56,36,3322159,ARMSTRONG I,brooklyn,371, 02/12/2020,366 CLIFTON PLACE
3017940121,2,M,380 CLIFTON PLACE,11216,03,08,25,56,36,3322159,ARMSTRONG I,brooklyn,371, 02/12/2020,380 CLIFTON PLACE
3017940139,3,M,388 CLIFTON PLACE,11216,03,08,25,56,36,3322161,ARMSTRONG I,brooklyn,371, 02/12/2020,388 CLIFTON PLACE
3017940139,3,M,396 CLIFTON PLACE,11216,03,08,25,56,36,3322161,ARMSTRONG I,brooklyn,371, 02/12/2020,396 CLIFTON PLACE
