,bbl,bin,bldg#,m,direction,house_num,street_name,street_type,zip,full_address,index,development,transfer_date,boro,units,_merge
0,2031300100,2013245,1,,,2021,BOSTON,ROAD,10460,2021 BOSTON ROAD,0.0,1010 EAST 178TH STREET,2025-06-24,BRONX,220.0,both
1,2031300100,2013245,1,,EAST,1012,178,STREET,10460,1012 EAST 178 STREET,0.0,1010 EAST 178TH STREET,2025-06-24,BRONX,220.0,both
2,2031300100,2013245,1,,EAST,1030,178,STREET,10460,1030 EAST 178 STREET,0.0,1010 EAST 178TH STREET,2025-06-24,BRONX,220.0,both
3,2031300100,2013245,1,M,EAST,1010,178,STREET,10460,1010 EAST 178 STREET,0.0,1010 EAST 178TH STREET,2025-06-24,BRONX,220.0,both
4,3035320030,3081191,1,,,114,TAPSCOTT,STREET,11212,114 TAPSCOTT STREET,4.0,104-114 TAPSCOTT STREET,2023-11-28,BROOKLYN,30.0,both
5,3035320030,3081191,1,M,,104,TAPSCOTT,STREET,11212,104 TAPSCOTT STREET,4.0,104-114 TAPSCOTT STREET,2023-11-28,BROOKLYN,30.0,both
6,1016830018,1052877,1,M,EAST,335,111,STREET,10029,335 EAST 111 STREET,6.0,335 EAST 111TH STREET,2020-11-30,MANHATTAN,66.0,both
7,1009330025,1020611,1,,EAST,344,28,STREET,10016,344 EAST 28 STREET,7.0,344 EAST 28TH STREET,2020-11-30,MANHATTAN,225.0,both
8,1009330025,1020611,1,,EAST,342,28,STREET,10016,342 EAST 28 STREET,7.0,344 EAST 28TH STREET,2020-11-30,MANHATTAN,225.0,both
9,1009330025,1020611,1,,EAST,346,28,STREET,10016,346 EAST 28 STREET,7.0,344 EAST 28TH STREET,2020-11-30,MANHATTAN,225.0,both
10,1009330025,1020611,1,,EAST,340,28,STREET,10016,340 EAST 28 STREET,7.0,344 EAST 28TH STREET,2020-11-30,MANHATTAN,225.0,both
11,3004010001,3006388,1,M,,572,WARREN,STREET,11217,572 WARREN STREET,12.0,572 WARREN STREET,2020-02-12,BROOKLYN,200.0,both
12,3004010001,3006388,1,,,568,WARREN,STREET,11217,568 WARREN STREET,12.0,572 WARREN STREET,2020-02-12,BROOKLYN,200.0,both
13,3004010001,3006388,1,,,565,BALTIC,STREET,11217,565 BALTIC STREET,12.0,572 WARREN STREET,2020-02-12,BROOKLYN,200.0,both
14,3004010001,3006388,1,M,,574,WARREN,STREET,11217,574 WARREN STREET,12.0,572 WARREN STREET,2020-02-12,BROOKLYN,200.0,both
15,3017940181,3000000,1,,,513,GREENE,AVENUE,11216,513 GREENE AVENUE,18.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
16,3017940120,3050204,1,M,,362,CLIFTON,PLACE,11216,362 CLIFTON PLACE,19.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
17,3017940119,3050203,1,M,,360,CLIFTON,PLACE,11216,360 CLIFTON PLACE,20.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
18,3017940118,3050202,1,M,,358,CLIFTON,PLACE,11216,358 CLIFTON PLACE,21.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
19,3017940117,3050201,1,M,,356,CLIFTON,PLACE,11216,356 CLIFTON PLACE,22.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
20,3017940116,3050200,1,M,,354,CLIFTON,PLACE,11216,354 CLIFTON PLACE,23.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
21,3017940115,3050199,1,M,,352,CLIFTON,PLACE,11216,352 CLIFTON PLACE,24.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
22,3017940114,3050198,1,M,,350,CLIFTON,PLACE,11216,350 CLIFTON PLACE,25.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
23,3017940113,3050197,1,M,,348,CLIFTON,PLACE,11216,348 CLIFTON PLACE,26.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
24,3017940112,3050196,1,M,,346,CLIFTON,PLACE,11216,346 CLIFTON PLACE,27.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
25,3017940011,3050169,1,M,,344,CLIFTON,PLACE,11216,344 CLIFTON PLACE,28.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
26,3018020051,3350437,10,M,,360,NOSTRAND,AVENUE,11216,360 NOSTRAND AVENUE,29.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
27,3018020051,3050588,11,,,260,LEXINGTON,AVENUE,11216,260 LEXINGTON AVENUE,29.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
28,3018020051,3050588,11,,,262,LEXINGTON,AVENUE,11216,262 LEXINGTON AVENUE,29.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
29,3018020051,3050588,11,,,264,LEXINGTON,AVENUE,11216,264 LEXINGTON AVENUE,29.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
30,3018020051,3399677,12,M,,254,LEXINGTON,AVENUE,11216,254 LEXINGTON AVENUE,29.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
31,3018020044,3050587,12,M,,252,LEXINGTON,AVENUE,11216,252 LEXINGTON AVENUE,34.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
32,3018020044,3050587,12,,,252,LEXINGTON,AVENUE,11216,252 LEXINGTON AVENUE,34.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
33,3018020043,3050586,12,M,,250,LEXINGTON,AVENUE,11216,250 LEXINGTON AVENUE,36.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
34,3017940121,3322159,2,M,,366,CLIFTON,PLACE,11216,366 CLIFTON PLACE,37.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
35,3017940121,3322159,2,M,,380,CLIFTON,PLACE,11216,380 CLIFTON PLACE,37.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
36,3017940139,3322161,3,M,,388,CLIFTON,PLACE,11216,388 CLIFTON PLACE,39.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
37,3017940139,3322161,3,M,,396,CLIFTON,PLACE,11216,396 CLIFTON PLACE,39.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
38,3017940054,3322152,4,M,,545,GREENE,AVENUE,11216,545 GREENE AVENUE,41.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
39,3017940054,3397846,4,M,,555,GREENE,AVENUE,11216,555 GREENE AVENUE,41.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
40,3018030124,3050667,5,M,,304,LEXINGTON,AVENUE,11216,304 LEXINGTON AVENUE,43.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
41,3018030123,3050666,5,M,,302,LEXINGTON,AVENUE,11216,302 LEXINGTON AVENUE,44.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
42,3018030122,3050665,5,M,,300,LEXINGTON,AVENUE,11216,300 LEXINGTON AVENUE,45.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
43,3018030121,3050664,5,M,,298,LEXINGTON,AVENUE,11216,298 LEXINGTON AVENUE,46.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
44,3018030120,3050663,5,M,,296,LEXINGTON,AVENUE,11216,296 LEXINGTON AVENUE,47.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
45,3018030119,3050662,5,M,,294,LEXINGTON,AVENUE,11216,294 LEXINGTON AVENUE,48.0,ARMSTRONG I,2020-02-12,BROOKLYN,371.0,both
