,BBL,BLDG#,M,ADDRESS,ZIP CODE,CD #,FC #,SS #,SA #,CC #,BIN#
0,3017940112,1,M,346 CLIFTON PLACE,11216,03,08,25,56,36,3050196
1,3017940011,1,M,344 CLIFTON PLACE,11216,03,08,25,56,36,3050169
2,3018020051,10,M,360 NOSTRAND AVENUE,11216,03,08,25,57,36,3350437
3,3018020051,11,,260 LEXINGTON AVENUE,11216,03,08,25,57,36,3050588
4,3018020051,11,,262 LEXINGTON AVENUE,11216,03,08,25,57,36,3050588
5,3018020051,11,,264 LEXINGTON AVENUE,11216,03,08,25,57,36,3050588
6,3018020051,12,M,254 LEXINGTON AVENUE,11216,03,08,25,57,36,3399677
7,3018020044,12,M,252 LEXINGTON AVENUE,11216,03,08,25,57,36,3050587
8,3018020044,12,,252A LEXINGTON AVENUE,11216,03,08,25,57,36,3050587
9,3018020043,12,M,250 LEXINGTON AVENUE,11216,03,08,25,57,36,3050586
10,3017940121,2,M,366 CLIFTON PLACE,11216,03,08,25,56,36,3322159
11,3017940121,2,M,380 CLIFTON PLACE,11216,03,08,25,56,36,3322159
12,3017940139,3,M,388 CLIFTON PLACE,11216,03,08,25,56,36,3322161
13,3017940139,3,M,396 CLIFTON PLACE,11216,03,08,25,56,36,3322161
14,3017940054,4,M,545 GREENE AVENUE,11216,03,08,25,56,36,3322152
15,3017940054,4,M,555 GREENE AVENUE,11216,03,08,25,56,36,3397846
16,3018030124,5,M,304 LEXINGTON AVENUE,11216,03,08,25,56,36,3050667
17,3018030123,5,M,302 LEXINGTON AVENUE,11216,03,08,25,56,36,3050666
18,3018030122,5,M,300 LEXINGTON AVENUE,11216,03,08,25,56,36,3050665
19,3018030121,5,M,298 LEXINGTON AVENUE,11216,03,08,25,56,36,3050664
20,3018030120,5,M,296 LEXINGTON AVENUE,11216,03,08,25,56,36,3050663
21,3018030119,5,M,294 LEXINGTON AVENUE,11216,03,08,25,56,36,3050662
22,3018030118,5,M,292 LEXINGTON AVENUE,11216,03,08,25,56,36,3050661
23,3018030117,5,M,290 LEXINGTON AVENUE,11216,03,08,25,56,36,3050660
24,3018030116,5,M,288 LEXINGTON AVENUE,11216,03,08,25,56,36,3050659
25,3018030115,5,M,286 LEXINGTON AVENUE,11216,03,08,25,56,36,3050658
26,3018030114,5,M,284 LEXINGTON AVENUE,11216,03,08,25,56,36,3050657
