,level_0,Unnamed: 0,bbl,bldg#,m,direction,house_num,street_name,street_type,zip,full_address,index,development,transfer_date,borough,units,_merge,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,days_converted,vio_days_after_conversion,yr_post_conversion,days_vio_open,vio_open_range
2226,2283,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,15881690,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,A,2023-03-29,2023-03-29,07/16/2023,07/02/2023,,,,1507.0,8417090.0,"(A) § HMC:FILE ANNUAL BEDBUG REPORT IN ACCORDANCE WITH HPD RULE AS DESCRIBED ON THE BACK OF THIS NOTICE OF VIOLATION OR AS DESCRIBED ON HPDS WEBSITE, WWW.NYC.GOV\HPD, SEARCH BED BUGS.",2023-03-29,9.0,VIOLATION DISMISSED,2023-12-04,Original,Close,N,2023,2023.0,2025-11-23,1426 days,456 days,1,250 days,six months to a year
2227,2284,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17964225,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2025-06-05,2025-06-09,06/28/2025,06/23/2025,,,06/11/2025,530.0,9825910.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES AT COMPACTOR HOPPER DOOR AT PUBLIC HALL, 4th STORY",2025-06-09,19.0,VIOLATION CLOSED,2025-07-02,Original,Close,N,2025,2025.0,2025-11-23,1426 days,1255 days,3,23 days,one week to a month
2228,2285,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17581577,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-12-27,2024-12-27,01/09/2025,12/28/2024,,,,670.0,9555331.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 6A, 6th STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION ''2150''",2024-12-30,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2025-04-23,Original,Open,Y,2024,2024.0,2025-11-23,1426 days,1095 days,2,328 days,six months to a year
2229,2286,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17397560,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-11-05,2024-11-05,11/25/2024,11/20/2024,,,,530.0,9415268.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE LATCH AT BUILDING ENTRANCE DOOR , 1st STORY",2024-11-06,19.0,VIOLATION CLOSED,2025-04-15,Original,Close,N,2024,2024.0,2025-11-23,1426 days,1043 days,2,160 days,three to six months
2230,2287,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16092973,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2023-07-13,2023-07-14,08/17/2023,08/12/2023,,,08/15/2024,569.0,8562318.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 2B, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST",2023-07-17,19.0,VIOLATION CLOSED,2025-07-24,Original,Close,N,2023,2023.0,2025-11-23,1426 days,562 days,1,738 days,more than a year
2231,2288,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16634544,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-01-30,2024-02-01,02/21/2024,02/16/2024,,,,530.0,8924113.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES AT FIRE DOORS AT ALL STORIES AT PUBLIC HALL, SECTION ''797''",2024-02-02,19.0,VIOLATION CLOSED,2024-03-29,Original,Close,N,2024,2024.0,2025-11-23,1426 days,763 days,2,56 days,one to three months
2232,2289,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16634542,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-01-30,2024-02-01,02/15/2024,02/08/2024,,,02/08/2024,501.0,8924111.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE GLASS PLANE AT LOWER SASH AT 2ND WINDOW FROM EAST AT SOUTH WALL AT PUBLIC HALL, 6th STORY, SECTION ''785''",2024-02-02,9.0,VIOLATION DISMISSED,2024-04-22,Original,Close,N,2024,2024.0,2025-11-23,1426 days,763 days,2,80 days,one to three months
2233,2290,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16314454,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2023-10-17,2023-10-17,11/18/2023,11/13/2023,,,11/17/2023,568.0,8690081.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 5C, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",2023-10-18,9.0,VIOLATION DISMISSED,2024-01-29,Original,Close,N,2023,2023.0,2025-11-23,1426 days,658 days,1,103 days,three to six months
2234,2291,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,16634541,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,C,2024-01-30,2024-02-01,02/21/2024,02/16/2024,,,,530.0,8924114.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES AT FIRE DOORS AT ALL STORIES AT PUBLIC HALL, SECTION ''785''",2024-02-02,19.0,VIOLATION CLOSED,2024-03-29,Original,Close,N,2024,2024.0,2025-11-23,1426 days,763 days,2,56 days,one to three months
2235,2292,252,3043550001,1,,,2150,LINDEN,BOULEVARD,11207,2150 LINDEN BOULEVARD,260,BOULEVARD,2021-12-28,BROOKLYN,1441,both,17964216,808713,389841.0,3,2150,2150,2150,LINDEN BOULEVARD,B,2025-06-05,2025-06-09,07/28/2025,07/14/2025,,,06/24/2025,501.0,9825909.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE HEAVY DUTY LOCKSET AT APARTMENT ENTRANCE DOOR , SECTION ''785''",2025-06-09,21.0,NOT COMPLIED WITH,2025-07-06,Original,Open,N,2025,2025.0,2025-11-23,1426 days,1255 days,3,167 days,three to six months
