address,development_name,current_apts,total_apts,transferred_date
1 TAPSCOTT STREET,,,,
100 SOUTH 10 STREET,BERRY STREET-SOUTH 9TH STREET,,,
101 SCHOLES STREET,,,,
101 STAGG WALK,,,,
1010 EAST 178TH STREET,,218,220,6/24/25
103 WEST 143 STREET,,,,
104 TAPSCOTT STREET,,28,30,11/28/23
105 PALMETTO STREET,,,,
105 WEST 143 STREET,,,,
106 STAGG WALK,,,,
1065 CASTLETON AVENUE,,,,
1075 CASTLETON AVENUE,,,,
1077 CASTLETON AVENUE,,,,
108 MAUJER STREET,,,,
108 STAGG WALK,,,,
1083 CASTLETON AVENUE,,,,
1085 ANDERSON AVENUE,,,,
1085 CASTLETON AVENUE,,,,
109 TEN EYCK WALK,,,,
109 WEST 144 STREET,,,,
1096 UNION AVENUE,,,,
1098 UNION AVENUE,,,,
110 MAUJER STREET,,,,
110 STAGG WALK,,,,
110 TAYLOR STREET,,,,
110 TEN EYCK WALK,,,,
110 WEST 139 STREET,,,,
1100 UNION AVENUE,,,,
1102 UNION AVENUE,,,,
1104 UNION AVENUE,,,,
1107 EAST 229 STREET,,,,
111 SCHOLES STREET,,,,
111 TEN EYCK WALK,,,,
111 TEN EYCK WALK,,,,
111 WEST 90 STREET,,,,
1111 EAST 229 STREET,,,,
1111 PROSPECT AVENUE,,,,
1113 PROSPECT AVENUE,,,,
1115 CASTLETON AVENUE,,,,
1115 EAST 225 STREET,,,,
1115 PROSPECT AVENUE,,,,
112 MAUJER STREET,,,,
112 STAGG WALK,,,,
112 TEN EYCK WALK,,,,
112 WEST 139 STREET,,,,
1120 EAST 229 STREET,,,,
1121 EAST 225 STREET,,,,
1125 229 DRIVE NORTH,,,,
1125 NELSON AVENUE,,,,
1126 229 DRIVE NORTH,,,,
1127 229 DRIVE NORTH,,,,
1127 NELSON AVENUE,,,,
1128 EAST 229 STREET,,,,
113 SCHOLES STREET,,,,
113 TEN EYCK WALK,,,,
113 WEST 143 STREET,,,,
113 WEST 144 STREET,,,,
1130 226 DRIVE,,,,
1130 229 DRIVE SOUTH,,,,
1131 226 DRIVE,,,,
1132 229 DRIVE SOUTH,,,,
1135 226 DRIVE,,,,
1135 229 DRIVE SOUTH,,,,
1135 EAST 229 STREET,,,,
1135 NELSON AVENUE,,,,
1135 PROSPECT AVENUE,,,,
1137 229 DRIVE NORTH,,,,
1138 226 DRIVE,,,,
1138 229 DRIVE SOUTH,,,,
1139 229 DRIVE NORTH,,,,
1139 NELSON AVENUE,,,,
114 EAST 123 STREET,,,,
114 MAUJER STREET,,,,
114 STAGG WALK,,,,
114 TAPSCOTT STREET,,,,
114 TAYLOR STREET,,,,
114 TEN EYCK WALK,,,,
114 WEST 139 STREET,,,,
114 WEST 91 STREET,,,,
1140 EAST 229 STREET,,,,
1141 226 DRIVE,,,,
1141 EAST 229 STREET,,,,
1142 LENOX ROAD,,,,
1144 LENOX ROAD,,,,
1144 NELSON AVENUE,,,,
1145 226 DRIVE,,,,
1145 EAST 229 STREET,,,,
1145 LENOX ROAD,,,,
1146 229 DRIVE NORTH,,,,
1147 229 DRIVE NORTH,,,,
1149 229 DRIVE NORTH,,,,
115 EAST 122 STREET,,,,
115 SCHOLES STREET,,,,
1150 EAST 229 STREET,,,,
1150 UNION AVENUE,,,,
1151 226 DRIVE,,,,
1151 EAST 229 STREET,,,,
1152 UNION AVENUE,,,,
1153 229 DRIVE SOUTH,,,,
1154 229 DRIVE SOUTH,,,,
1155 229 DRIVE SOUTH,,,,
1155 EAST 225 STREET,,,,
1159 229 DRIVE NORTH,,,,
116 EAST 123 STREET,,,,
116 WEST 139 STREET,,,,
1160 229 DRIVE SOUTH,,,,
1160 GRENADA PLACE,,,,
1161 229 DRIVE NORTH,,,,
1161 EAST 225 STREET,,,,
1165 226 DRIVE,,,,
1165 EAST 229 STREET,,,,
1166 GRENADA PLACE,,,,
1169 226 DRIVE,,,,
117 WEST 144 STREET,,,,
117 WEST 90 STREET,,,,
1170 229 DRIVE SOUTH,,,,
1173 229 DRIVE NORTH,,,,
1175 EAST 225 STREET,,,,
1175 EAST 229 STREET,,,,
1180 EAST NEW YORK AVENUE,,,,
1180 GRENADA PLACE,,,,
1181 EAST 225 STREET,,,,
1182 NELSON AVENUE,,,,
1183 226 DRIVE,,,,
1184 NELSON AVENUE,,,,
1186 EAST NEW YORK AVENUE,,,,
1186 GRENADA PLACE,,,,
1187 226 DRIVE,,,,
1189 229 DRIVE NORTH,,,,
119 TAYLOR STREET,,,,
119 WILSON STREET,,,,
1195 EAST 225 STREET,,,,
1195 EAST 229 STREET,,,,
1196 EAST NEW YORK AVENUE,,,,
120 EAST 123 STREET,,,,
120 MENAHAN STREET,,,,
120 WEST 140 STREET,,,,
120 WEST 91 STREET,,,,
1201 GATES AVENUE,,,,
121 WILSON STREET,,,,
1210 GATES AVENUE,,,,
122 BUSHWICK AVENUE,,,,
1220 EAST 229 STREET,,,,
1221 PROSPECT AVENUE,,,,
1225 EAST 225 STREET,BAYCHESTER,440,441,12/27/18
1229 GREENE AVENUE,,,,
123 STAGG WALK,,,,
123 TAYLOR STREET,,,,
123 TEN EYCK WALK,,,,
1230 GATES AVENUE,,,,
124 BUSHWICK AVENUE,,,,
124 MAUJER STREET,,,,
124 WEST 91 STREET,,,,
1240 GATES AVENUE,,,,
