,dev_name,units,0
0,104-14 TAPSCOTT STREET,30,29
1,344 EAST 28TH STREET,225,107
2,65A SOUTH 10TH STREET,150,35
3,ARMSTRONG I,371,269
4,ARMSTRONG II,248,213
5,BAILEY AVENUE-WEST 193RD STREET,233,22
6,BAYCHESTER,441,159
7,BELMONT-SUTTER AREA,72,55
8,BETANCES I,309,180
9,"BETANCES II, 13",51,26
10,"BETANCES II, 18",78,48
11,"BETANCES II, 9A",46,45
12,"BETANCES III, 13",51,15
13,BETANCES IV,282,337
14,BETANCES VI,155,176
15,BOSTON ROAD PLAZA,235,78
16,BOSTON SECOR,538,84
17,BOULEVARD,"1,441",977
18,BUSHWICK II (GROUPS A & C),300,297
19,BUSHWICK II (GROUPS B & D),300,232
20,BUSHWICK II CDA (GROUP E),276,256
21,CLAREMONT PARKWAY-FRANKLIN AVENUE,188,29
22,CROWN HEIGHTS,121,114
23,DAVIDSON,175,12
24,EAGLE AVENUE-EAST 163RD STREET,66,25
25,EASTCHESTER GARDENS,877,84
26,EDENWALD,2039,1004
27,FENIMORE-LEFFERTS,36,19
28,FIORENTINO PLAZA,160,411
29,FRANKLIN AVENUE I CONVENTIONAL,61,18
30,FRANKLIN AVENUE II CONVENTIONAL,45,15
31,FRANKLIN AVENUE III CONVENTIONAL,15,10
32,HARLEM RIVER,577,503
33,HARLEM RIVER II,116,98
34,HARRISON AVENUE REHAB (GROUP B),150,6
35,HIGHBRIDGE REHABS (ANDERSON AVENUE),135,28
36,HIGHBRIDGE REHABS (NELSON AVENUE),80,39
37,HOPE GARDENS,330,88
38,HOWARD AVENUE,150,55
39,HOWARD AVENUE-PARK PLACE,156,198
40,INDEPENDENCE,744,124
41,LENOX ROAD-ROCKAWAY PARKWAY,74,56
42,LINDEN,"1,586",1020
43,MANHATTANVILLE,"1,272",308
44,MANHATTANVILLE REHAB (GROUP 2),46,130
45,MANHATTANVILLE REHAB (GROUP 3),51,82
46,MARCY AVENUE-GREENE AVENUE SITE A,48,46
47,MARCY AVENUE-GREENE AVENUE SITE B,30,55
48,MARSHALL PLAZA,180,137
49,MIDDLETOWN PLAZA,179,10
50,MURPHY,281,76
51,OCEAN BAY APARTMENTS (BAYSIDE),"1,395",1032
52,OCEAN HILL-BROWNSVILLE,125,219
53,PALMETTO GARDENS,115,13
54,"PARK AVENUE-EAST 122ND, 123RD STREETS",90,62
55,PARK ROCK REHAB,134,360
56,PENNSYLVANIA AVENUE-WORTMAN AVENUE,336,199
57,PUBLIC SCHOOL 139 (CONVERSION),125,18
58,RALPH AVENUE REHAB,118,257
59,RUTLAND TOWERS,61,42
60,SACK WERN,413,228
61,SAMUEL (CITY),664,667
62,SAMUEL (MHOP) I,53,79
63,SAMUEL (MHOP) II,10,1
64,SAMUEL (MHOP) III,10,1
65,SOUTH BRONX AREA (SITE 402),114,27
66,STEBBINS AVENUE-HEWITT PLACE,120,10
67,STERLING PLACE REHABS (SAINT JOHNS-STERLING),83,138
68,STERLING PLACE REHABS (STERLING-BUFFALO),125,345
69,SUTTER AVENUE-UNION STREET,100,170
70,TAPSCOTT STREET REHAB,155,219
71,TWIN PARKS WEST (SITES 1 & 2),312,71
72,UNION AVENUE-EAST 166TH STREET,120,19
73,UNIVERSITY AVENUE REHAB,230,4
74,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),216,270
75,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),88,189
76,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),14,96
77,WASHINGTON HEIGHTS REHAB PHASE IV (C),32,38
78,WASHINGTON HEIGHTS REHAB PHASE IV (D),32,11
79,WEEKSVILLE GARDENS,257,54
80,WEST BRIGHTON I,490,164
81,WEST BRIGHTON II,490,16
82,WILLIAMS PLAZA,577,123
83,WILLIAMSBURG,"1,621",334
84,WISE TOWERS,399,365
