,building_name,borough,total_units,tds,transferred_date,page_number,bbl,bldg,m,address
0,104-14 TAPSCOTT STREET,BROOKLYN,30,242,11/28/2023,1,3035320030,1,,114 TAPSCOTT STREET
1,104-14 TAPSCOTT STREET,BROOKLYN,30,242,11/28/2023,1,3035320030,1,M,104 TAPSCOTT STREET
2,335 EAST 111TH STREET,MANHATTAN,66,203,11/30/2020,1,1016830018,1,M,335 EAST 111TH STREET
3,344 EAST 28TH STREET,MANHATTAN,225,185,11/30/2020,1,1009330025,1,,344GAR EAST 28TH STREET
4,344 EAST 28TH STREET,MANHATTAN,225,185,11/30/2020,1,1009330025,1,,346 EAST 28TH STREET
5,344 EAST 28TH STREET,MANHATTAN,225,185,11/30/2020,1,1009330025,1,M,344 EAST 28TH STREET
6,344 EAST 28TH STREET,MANHATTAN,225,185,11/30/2020,1,1009330025,1,,342 EAST 28TH STREET
7,344 EAST 28TH STREET,MANHATTAN,225,185,11/30/2020,1,1009330025,1,,340 EAST 28TH STREET
8,572 WARREN STREET,BROOKLYN,200,196,2/12/2020,1,3004010001,,,590 WARREN STREET
9,572 WARREN STREET,BROOKLYN,200,196,2/12/2020,1,3004010001,1,,568 WARREN STREET
10,572 WARREN STREET,BROOKLYN,200,196,2/12/2020,1,3004010001,1,M,572 WARREN STREET
11,572 WARREN STREET,BROOKLYN,200,196,2/12/2020,1,3004010001,1,M,574 WARREN STREET
12,572 WARREN STREET,BROOKLYN,200,196,2/12/2020,1,3004010001,1,,565 BALTIC STREET
13,572 WARREN STREET,BROOKLYN,200,196,2/12/2020,1,3004010001,2,,590 WARREN STREET -TEMPORARY ADDRESS
14,ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940181,,,513 GREENE AVENUE
15,ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940120,1,M,362 CLIFTON PLACE
16,ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940119,1,M,360 CLIFTON PLACE
17,ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940118,1,M,358 CLIFTON PLACE
18,ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940117,1,M,356 CLIFTON PLACE
19,ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940116,1,M,354 CLIFTON PLACE
20,ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940115,1,M,352 CLIFTON PLACE
21,ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940114,1,M,350 CLIFTON PLACE
22,ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940113,1,M,348 CLIFTON PLACE
23,ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940112,1,M,346 CLIFTON PLACE
24,ARMSTRONG I,BROOKLYN,371,210,2/12/2020,1,3017940011,1,M,344 CLIFTON PLACE
