,bbl,building_num,M,address,zip,bin,street_number,street_name,full_address,violationid,buildingid,registrationid,boro,nta,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,ordernumber,novid,class,novdescription,novissueddate,currentstatus,currentstatusdate,violationstatus,novtype,certifieddate,newcertifybydate,newcorrectbydate,inspectiondate_year,novissued_year
0,3043770001,14.0,M,357 WORTMAN AVENUE,11207,3324279,357,WORTMAN AVENUE,357 WORTMAN AVENUE,15729208,809929,389853,BROOKLYN,East New York-New Lots,2023-02-15,2023-02-15,2023-03-17T00:00:00.000,2023-03-12T00:00:00.000,617,8293667.0,C,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) SOUTH WALL IN THE 1st ROOM FROM EAST LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2023-02-16,DEFECT LETTER ISSUED,2025-03-28T00:00:00.000,Open,Original,,,,2023,2023.0
1,3043770001,14.0,M,357 WORTMAN AVENUE,11207,3324279,357,WORTMAN AVENUE,357 WORTMAN AVENUE,15729205,809929,389853,BROOKLYN,East New York-New Lots,2023-02-15,2023-02-15,2023-03-17T00:00:00.000,2023-03-12T00:00:00.000,617,8293667.0,C,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st DOOR FRAME FROM WEST AT NORTH WALL, 1st WINDOW FRAME FROM EAST AT SOUTH WALL IN THE KITCHEN LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2023-02-16,DEFECT LETTER ISSUED,2025-03-28T00:00:00.000,Open,Original,,,,2023,2023.0
2,3043770001,14.0,M,357 WORTMAN AVENUE,11207,3324279,357,WORTMAN AVENUE,357 WORTMAN AVENUE,15729206,809929,389853,BROOKLYN,East New York-New Lots,2023-02-15,2023-02-15,2023-03-17T00:00:00.000,2023-03-12T00:00:00.000,617,8293667.0,C,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st DOOR FRAME FROM NORTH AT EAST WALL IN THE FOYER LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2023-02-16,DEFECT LETTER ISSUED,2025-03-28T00:00:00.000,Open,Original,,,,2023,2023.0
3,3043770001,14.0,M,357 WORTMAN AVENUE,11207,3324279,357,WORTMAN AVENUE,357 WORTMAN AVENUE,15729383,809929,389853,BROOKLYN,East New York-New Lots,2023-02-15,2023-02-16,2023-03-18T00:00:00.000,2023-03-13T00:00:00.000,622,8295063.0,C,"§ 27-2056.7, 27-2056.8, 27-2056.9 ADM CODE -CERTIFY COMPLIANCE WITH LEAD-BASED PAINT HAZARD CONTROL REQUIREMENTS DURING PERIOD OF UNIT VACANCY BY PERFORMING ACTIVITIES NECESSARY TO ABATE TESTED LEAD-BASED PAINT FROM REQUIRED WINDOW AND/OR DOOR FRICTION SURFACES FOR APARTMENT AND MAKE FLOORS SMOOTH AND CLEANABLE, POSITIVE LEAD-BASED PAINT IN AN APARTMENT WITH A CHILD UNDER SIX LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2023-02-17,NOV SENT OUT,2023-02-17T00:00:00.000,Open,Original,,,,2023,2023.0
4,3043770001,14.0,M,357 WORTMAN AVENUE,11207,3324279,357,WORTMAN AVENUE,357 WORTMAN AVENUE,15729204,809929,389853,BROOKLYN,East New York-New Lots,2023-02-15,2023-02-15,2023-03-17T00:00:00.000,2023-03-12T00:00:00.000,617,8293667.0,C,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st DOOR FRAME FROM NORTH AT EAST WALL IN THE 4th ROOM FROM EAST AT NORTH LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2023-02-16,DEFECT LETTER ISSUED,2025-03-28T00:00:00.000,Open,Original,,,,2023,2023.0
5,2049050001,11.0,M,1137 229 DRIVE NORTH,10466,2094143,1137,229 DRIVE NORTH,1137 229 DRIVE NORTH,16986038,807143,228713,BRONX,Eastchester-Edenwald-Baychester,2024-05-16,2024-05-17,2024-06-18T00:00:00.000,2024-06-13T00:00:00.000,617,9166995.0,C,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) CEILING, EAST WALL, WEST WALL IN THE KITCHEN LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-05-20,VIOLATION CLOSED,2024-09-17T00:00:00.000,Close,Original,,,,2024,2024.0
6,2049050001,11.0,M,1137 229 DRIVE NORTH,10466,2094143,1137,229 DRIVE NORTH,1137 229 DRIVE NORTH,16992726,807143,228713,BRONX,Eastchester-Edenwald-Baychester,2024-05-16,2024-05-20,2024-06-19T00:00:00.000,2024-06-14T00:00:00.000,617,9169006.0,C,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) CEILING IN THE BATHROOM LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-05-21,NOV SENT OUT,2024-05-21T00:00:00.000,Open,Original,,,,2024,2024.0
7,2049050001,12.0,M,1125 229 DRIVE NORTH,10466,2094148,1125,229 DRIVE NORTH,1125 229 DRIVE NORTH,17314689,807142,228709,BRONX,Eastchester-Edenwald-Baychester,2024-09-22,2024-09-27,2024-10-29T00:00:00.000,2024-10-24T00:00:00.000,622,9359821.0,C,"§ 27-2056.7, 27-2056.8, 27-2056.9 ADM CODE -CERTIFY COMPLIANCE WITH LEAD-BASED PAINT HAZARD CONTROL REQUIREMENTS DURING PERIOD OF UNIT VACANCY BY PERFORMING ACTIVITIES NECESSARY TO ABATE TESTED LEAD-BASED PAINT FROM REQUIRED WINDOW AND/OR DOOR FRICTION SURFACES FOR APARTMENT AND MAKE FLOORS SMOOTH AND CLEANABLE, POSITIVE LEAD-BASED PAINT IN AN APARTMENT WITH A CHILD UNDER SIX LOCATED AT APT .1D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2024-09-30,NOV SENT OUT,2024-09-30T00:00:00.000,Open,Original,,,,2024,2024.0
8,2049050001,12.0,M,1125 229 DRIVE NORTH,10466,2094148,1125,229 DRIVE NORTH,1125 229 DRIVE NORTH,17309411,807142,228709,BRONX,Eastchester-Edenwald-Baychester,2024-09-22,2024-09-26,2024-10-26T00:00:00.000,2024-10-21T00:00:00.000,617,9356646.0,C,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) CEILING IN THE BATHROOM LOCATED AT APT .1D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2024-09-27,NOV SENT OUT,2024-09-27T00:00:00.000,Open,Original,,,,2024,2024.0
9,2049050001,12.0,M,1125 229 DRIVE NORTH,10466,2094148,1125,229 DRIVE NORTH,1125 229 DRIVE NORTH,17309415,807142,228709,BRONX,Eastchester-Edenwald-Baychester,2024-09-22,2024-09-26,2024-10-26T00:00:00.000,2024-10-21T00:00:00.000,617,9356646.0,C,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st CLOSET FROM EAST AT SOUTH WALL DOOR FRAME IN THE PRIVATE HALLWAY LOCATED AT APT .1D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2024-09-27,NOV SENT OUT,2024-09-27T00:00:00.000,Open,Original,,,,2024,2024.0
10,2049050001,12.0,M,1125 229 DRIVE NORTH,10466,2094148,1125,229 DRIVE NORTH,1125 229 DRIVE NORTH,17309416,807142,228709,BRONX,Eastchester-Edenwald-Baychester,2024-09-22,2024-09-26,2024-10-26T00:00:00.000,2024-10-21T00:00:00.000,617,9356646.0,C,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st DOOR FRAME FROM SOUTH AT WEST WALL IN THE FOYER LOCATED AT APT .1D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2024-09-27,NOV SENT OUT,2024-09-27T00:00:00.000,Open,Original,,,,2024,2024.0
11,2049050001,17.0,M,1165 EAST 229 STREET,10466,2094153,1165,EAST 229 STREET,1165 EAST 229 STREET,16624489,806645,228726,BRONX,Eastchester-Edenwald-Baychester,2024-01-24,2024-01-24,2024-02-23T00:00:00.000,2024-02-18T00:00:00.000,617,8910323.0,C,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st RISER FROM SOUTH AT WEST WALL, 2nd RISER FROM SOUTH AT WEST WALL, SOUTH WALL IN THE KITCHEN LOCATED AT APT 7C, 7th STORY, 1st APARTMENT FROM SOUTH AT WEST",2024-01-25,INVALID CERTIFICATION,2024-02-23T00:00:00.000,Open,Original,,,,2024,2024.0
12,2049050001,20.0,M,1170 229 DRIVE SOUTH,10466,2094150,1170,229 DRIVE SOUTH,1170 229 DRIVE SOUTH,16739413,807152,228727,BRONX,Eastchester-Edenwald-Baychester,2024-03-06,2024-03-09,2024-04-09T00:00:00.000,2024-04-04T00:00:00.000,617,8981767.0,C,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) WEST WALL IN THE KITCHEN LOCATED AT APT 12G, 12th STORY, 1st APARTMENT FROM NORTH AT EAST",2024-03-11,NOV SENT OUT,2024-03-11T00:00:00.000,Open,Original,,,,2024,2024.0
