,level_0,Unnamed: 0,bbl,bldg#,m,direction,house_num,street_name,street_type,zip,full_address,index,development,transfer_date,borough,units,_merge,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,days_converted,vio_days_after_conversion,yr_post_conversion,days_vio_open,vio_open_range
8487,8980,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,15326977,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2022-08-25,2022-08-26,09/29/2022,09/24/2022,,,09/23/2022,568.0,8019810.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",2022-08-29,9.0,VIOLATION DISMISSED,2022-12-05,Original,Close,N,2022,2022.0,2025-11-23,3249 days,2063 days,5,98 days,three to six months
8488,8981,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,15326978,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2022-08-25,2022-08-26,09/29/2022,09/24/2022,,,09/23/2022,569.0,8019810.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",2022-08-29,9.0,VIOLATION DISMISSED,2022-12-05,Original,Close,N,2022,2022.0,2025-11-23,3249 days,2063 days,5,98 days,three to six months
8489,8982,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,12450886,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2018-06-25,2018-06-27,07/11/2018,07/06/2018,,,07/11/2018,583.0,6126934.0,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK SOUTH WALL IN THE 1st LIVING ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, APARTMENT AT EAST",2018-06-28,19.0,VIOLATION CLOSED,2018-09-20,Original,Close,N,2018,2018.0,2025-11-23,3249 days,541 days,1,84 days,one to three months
8490,8983,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,13122196,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,A,2019-06-13,2019-06-14,10/04/2019,09/20/2019,,,,556.0,6512783.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT CEILING IN THE BATHROOM LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",2019-06-17,19.0,VIOLATION CLOSED,2019-09-20,Original,Close,N,2019,2019.0,2025-11-23,3249 days,894 days,2,95 days,three to six months
8491,8984,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,14439314,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2021-07-14,2021-07-15,08/16/2021,08/11/2021,,,,568.0,7409463.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",2021-07-16,19.0,VIOLATION CLOSED,2022-04-29,Original,Close,N,2021,2021.0,2025-11-23,3249 days,1656 days,4,287 days,six months to a year
8492,8985,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,14573136,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,B,2021-09-20,2021-09-21,11/10/2021,10/27/2021,,,,501.0,7486060.0,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE ELECTRICAL OUTLET AT NORTH WALL IN THE 4th ROOM FROM NORTH LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT WEST",2021-09-22,19.0,VIOLATION CLOSED,2022-01-20,Original,Close,N,2021,2021.0,2025-11-23,3249 days,1724 days,4,120 days,three to six months
8493,8986,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,14573137,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,B,2021-09-20,2021-09-21,11/10/2021,10/27/2021,,,,702.0,7486060.0,"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT WEST",2021-09-22,19.0,VIOLATION CLOSED,2022-01-20,Original,Close,N,2021,2021.0,2025-11-23,3249 days,1724 days,4,120 days,three to six months
8494,8987,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,16354116,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,C,2023-11-02,2023-11-02,11/15/2023,11/03/2023,,,11/15/2023,670.0,8713408.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE 3rd ROOM FROM NORTH LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT WEST",2023-11-03,9.0,VIOLATION DISMISSED,2024-01-26,Original,Close,Y,2023,2023.0,2025-11-23,3249 days,2497 days,6,84 days,one to three months
8495,8988,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,15058671,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,A,2022-01-19,2022-03-17,07/05/2022,06/21/2022,,,,508.0,7842078.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE BATHROOM LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",2022-03-18,19.0,VIOLATION CLOSED,2022-06-17,Original,Close,N,2022,2022.0,2025-11-23,3249 days,1845 days,5,91 days,three to six months
8496,8989,956,4160020001,1,M,,54-81,ALMEDA,AVENUE,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),2016-12-31,QUEENS,1395,both,16789148,811152,432094.0,4,54-81,54-81,54-81,ALMEDA AVENUE,B,2024-03-28,2024-03-29,05/20/2024,05/06/2024,,,05/15/2024,1503.0,9021846.0,"§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 3C, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH",2024-04-01,9.0,VIOLATION DISMISSED,2024-07-26,Original,Close,N,2024,2024.0,2025-11-23,3249 days,2644 days,7,116 days,three to six months
