bbl,bldg#,m,zip,full_address,index,development,transfer_date,borough,units,_merge,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,15326977,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,8/25/22,8/26/22,9/29/22,9/24/22,,,9/23/22,568,8019810,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",8/29/22,9,VIOLATION DISMISSED,12/5/22,Original,Close,N,2022,2022,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,15326978,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,8/25/22,8/26/22,9/29/22,9/24/22,,,9/23/22,569,8019810,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",8/29/22,9,VIOLATION DISMISSED,12/5/22,Original,Close,N,2022,2022,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,12450886,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,6/25/18,6/27/18,7/11/18,7/6/18,,,7/11/18,583,6126934,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK SOUTH WALL IN THE 1st LIVING ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, APARTMENT AT EAST",6/28/18,19,VIOLATION CLOSED,9/20/18,Original,Close,N,2018,2018,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,13122196,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,A,6/13/19,6/14/19,10/4/19,9/20/19,,,,556,6512783,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT CEILING IN THE BATHROOM LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",6/17/19,19,VIOLATION CLOSED,9/20/19,Original,Close,N,2019,2019,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,14439314,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,7/14/21,7/15/21,8/16/21,8/11/21,,,,568,7409463,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",7/16/21,19,VIOLATION CLOSED,4/29/22,Original,Close,N,2021,2021,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,14573136,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,B,9/20/21,9/21/21,11/10/21,10/27/21,,,,501,7486060,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE ELECTRICAL OUTLET AT NORTH WALL IN THE 4th ROOM FROM NORTH LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT WEST",9/22/21,19,VIOLATION CLOSED,1/20/22,Original,Close,N,2021,2021,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,14573137,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,B,9/20/21,9/21/21,11/10/21,10/27/21,,,,702,7486060,"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT WEST",9/22/21,19,VIOLATION CLOSED,1/20/22,Original,Close,N,2021,2021,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,16354116,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,11/2/23,11/2/23,11/15/23,11/3/23,,,11/15/23,670,8713408,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE 3rd ROOM FROM NORTH LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT WEST",11/3/23,9,VIOLATION DISMISSED,1/26/24,Original,Close,Y,2023,2023,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,15058671,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,A,1/19/22,3/17/22,7/5/22,6/21/22,,,,508,7842078,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE BATHROOM LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",3/18/22,19,VIOLATION CLOSED,6/17/22,Original,Close,N,2022,2022,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,16789148,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,B,3/28/24,3/29/24,5/20/24,5/6/24,,,5/15/24,1503,9021846,"§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 3C, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH",4/1/24,9,VIOLATION DISMISSED,7/26/24,Original,Close,N,2024,2024,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,14790203,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,1/19/22,1/20/22,2/3/22,1/27/22,,,,501,7613934,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE MORTISE LOCKSET, AT THE FRONT ENTRANCE DOOR TO THE BUILDING IN THE BATHROOM LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",1/21/22,9,VIOLATION DISMISSED,6/17/22,Original,Close,N,2022,2022,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,16041573,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,6/16/23,6/16/23,7/9/23,7/4/23,,,7/7/23,530,8529118,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE .. IN THE ENTRANCE LOCATED AT APT 3C, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH",6/20/23,9,VIOLATION DISMISSED,9/18/23,Original,Close,N,2023,2023,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,16041574,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,6/16/23,6/16/23,7/21/23,7/16/23,,,,569,8529117,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 3C, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH",6/20/23,19,VIOLATION CLOSED,9/18/24,Original,Close,N,2023,2023,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,12357280,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,4/26/18,4/27/18,5/13/18,5/8/18,,,5/9/18,508,6076955,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE SOUTH WALL IN THE 1st LIVING ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, APARTMENT AT EAST",4/30/18,19,VIOLATION CLOSED,9/20/18,Original,Close,N,2018,2018,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,12357287,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,4/26/18,4/27/18,5/13/18,5/8/18,,,5/15/18,550,6076956,"§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... ON THE SOUTH WALL IN THE 1st LIVING ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, APARTMENT AT EAST",4/30/18,19,VIOLATION CLOSED,7/30/18,Original,Close,N,2018,2018,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,12357316,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,4/26/18,4/27/18,5/13/18,5/8/18,,,5/9/18,583,6076955,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK ON THE SOUTH WALL IN THE 1st LIVING ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, APARTMENT AT EAST",4/30/18,19,VIOLATION CLOSED,7/30/18,Original,Close,N,2018,2018,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,12362234,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,B,4/30/18,5/1/18,6/20/18,6/6/18,,,6/18/18,508,6079708,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE EAST WALL IN THE 4th ROOM FROM EAST LOCATED AT APT 6H, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",5/2/18,9,VIOLATION DISMISSED,8/29/18,Original,Close,N,2018,2018,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,12362237,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,B,4/30/18,5/1/18,6/20/18,6/6/18,,,6/18/18,508,6079708,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE WEST WALL, EAST WALL, CEILING IN THE 3rd ROOM FROM EAST LOCATED AT APT 6H, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",5/2/18,9,VIOLATION DISMISSED,8/29/18,Original,Close,N,2018,2018,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,12362240,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,B,4/30/18,5/1/18,6/20/18,6/6/18,,,6/18/18,568,6079708,"§ 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF ROACHES LOCATED AT APT 6H, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",5/2/18,9,VIOLATION DISMISSED,8/29/18,Original,Close,N,2018,2018,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,12362612,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,A,4/30/18,5/1/18,8/19/18,8/5/18,,,8/17/18,556,6079707,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE 4th ROOM FROM EAST, THE 3rd ROOM FROM EAST LOCATED AT APT 6H, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",5/2/18,19,VIOLATION CLOSED,9/20/18,Original,Close,N,2018,2018,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,12450863,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,C,6/25/18,6/27/18,7/11/18,7/6/18,,,7/11/18,508,6126934,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR SOUTH WALL IN THE 1st LIVING ROOM FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, APARTMENT AT EAST",6/28/18,19,VIOLATION CLOSED,9/20/18,Original,Close,N,2018,2018,11/23/25
4160020001,1,M,11692,54-81 ALMEDA AVENUE,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,13122204,811152,432094,4,54-81,54-81,54-81,ALMEDA AVENUE,B,6/13/19,6/14/19,8/5/19,7/22/19,,,,576,6512784,"§ 27-2024 ADM CODE PROVIDE ADEQUATE SUPPLY OF COLD WATER FOR THE FIXTURES AT SINK IN THE KITCHEN LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",6/17/19,19,VIOLATION CLOSED,9/20/19,Original,Close,Y,2019,2019,11/23/25
