,development,omocreatedate,count
0,104-114 TAPSCOTT STREET,2024,1
1,104-114 TAPSCOTT STREET,2025,3
2,344 EAST 28TH STREET,2023,2
3,344 EAST 28TH STREET,2024,2
4,ARMSTRONG I,2007,1
5,ARMSTRONG I,2020,1
6,ARMSTRONG I,2022,2
7,ARMSTRONG II,2021,1
8,ARMSTRONG II,2025,1
9,BAYCHESTER,2019,1
10,BELMONT-SUTTER AREA,2024,3
11,BELMONT-SUTTER AREA,2025,1
12,BETANCES I,2023,3
13,BETANCES I,2025,1
14,"BETANCES II, 18",2022,1
15,"BETANCES II, 9A",2022,1
16,BETANCES IV,2019,1
17,BETANCES IV,2023,3
18,BETANCES IV,2024,3
19,BETANCES VI,2024,1
20,BOULEVARD,2022,6
21,BOULEVARD,2023,19
22,BOULEVARD,2024,16
23,BOULEVARD,2025,7
24,BUSHWICK II (GROUPS A & C),2019,1
25,BUSHWICK II (GROUPS A & C),2022,4
26,BUSHWICK II (GROUPS A & C),2023,1
27,BUSHWICK II (GROUPS A & C),2025,2
28,BUSHWICK II (GROUPS B & D),2020,1
29,BUSHWICK II (GROUPS B & D),2021,1
30,BUSHWICK II (GROUPS B & D),2022,3
31,BUSHWICK II (GROUPS B & D),2025,3
32,BUSHWICK II CDA (GROUP E),2021,3
33,BUSHWICK II CDA (GROUP E),2022,2
34,BUSHWICK II CDA (GROUP E),2025,1
35,CLAREMONT PARKWAY-FRANKLIN AVENUE,2024,1
36,EAGLE AVENUE-EAST 163RD STREET,2025,1
37,EDENWALD,2023,2
38,EDENWALD,2024,26
39,EDENWALD,2025,5
40,FIORENTINO PLAZA,2004,1
41,FIORENTINO PLAZA,2022,2
42,FIORENTINO PLAZA,2023,5
43,FIORENTINO PLAZA,2024,2
44,FIORENTINO PLAZA,2025,1
45,HARLEM RIVER,2022,2
46,HARLEM RIVER,2023,9
47,HARLEM RIVER II ,2022,1
48,HARLEM RIVER II ,2023,2
49,HARLEM RIVER II ,2024,3
50,HARLEM RIVER II ,2025,1
51,HIGHBRIDGE REHABS (NELSON AVENUE),2024,1
52,HOPE GARDENS,2022,1
53,HOPE GARDENS,2025,1
54,HOWARD AVENUE,2024,1
55,HOWARD AVENUE,2025,2
56,HOWARD AVENUE-PARK PLACE,2025,3
57,INDEPENDENCE,2021,1
58,INDEPENDENCE,2023,2
59,LENOX ROAD-ROCKAWAY PARKWAY,2024,2
60,LENOX ROAD-ROCKAWAY PARKWAY,2025,4
61,LINDEN,2022,14
62,LINDEN,2023,15
63,LINDEN,2024,3
64,LINDEN,2025,4
65,MANHATTANVILLE,2025,12
66,MANHATTANVILLE REHAB (GROUP 2),2022,3
67,MANHATTANVILLE REHAB (GROUP 2),2023,1
68,MANHATTANVILLE REHAB (GROUP 2),2024,2
69,MANHATTANVILLE REHAB (GROUP 3),2022,1
70,MANHATTANVILLE REHAB (GROUP 3),2023,1
71,MARCY AVENUE-GREENE AVENUE SITE A,2008,1
72,MARCY AVENUE-GREENE AVENUE SITE A,2010,1
73,MARCY AVENUE-GREENE AVENUE SITE A,2024,1
74,MARCY AVENUE-GREENE AVENUE SITE B,2003,1
75,MARCY AVENUE-GREENE AVENUE SITE B,2005,1
76,MARCY AVENUE-GREENE AVENUE SITE B,2022,1
77,MARSHALL PLAZA,2023,1
78,MARSHALL PLAZA,2024,6
79,MURPHY,2019,2
80,MURPHY,2021,1
81,OCEAN BAY (BAYSIDE),2018,1
82,OCEAN BAY (BAYSIDE),2019,4
83,OCEAN BAY (BAYSIDE),2020,3
84,OCEAN BAY (BAYSIDE),2021,5
85,OCEAN BAY (BAYSIDE),2022,1
86,OCEAN BAY (BAYSIDE),2023,4
87,OCEAN BAY (BAYSIDE),2024,1
88,OCEAN BAY (BAYSIDE),2025,1
89,OCEAN HILL-BROWNSVILLE,2024,2
90,OCEAN HILL-BROWNSVILLE,2025,7
91,"PARK AVENUE-EAST 112ND, 123RD STREETS",2022,1
92,"PARK AVENUE-EAST 112ND, 123RD STREETS",2024,1
93,PARK ROCK REHAB,2024,5
94,PARK ROCK REHAB,2025,10
95,PENNSYLVANIA AVENUE-WORTMAN AVENUE,2023,2
96,PENNSYLVANIA AVENUE-WORTMAN AVENUE,2024,1
97,RALPH AVENUE REHAB,2024,6
98,RALPH AVENUE REHAB,2025,5
99,RUTLAND TOWERS,2015,1
100,RUTLAND TOWERS,2024,2
101,SACK WERN,2025,2
102,SAMUEL (CITY),2024,1
103,SAMUEL (CITY),2025,17
104,SAMUEL (MHOP) I,2022,1
105,STERLING PLACE REHABS (SAINT JOHNS-STERLING),2004,1
106,STERLING PLACE REHABS (SAINT JOHNS-STERLING),2025,2
107,STERLING PLACE REHABS (STERLING-BUFFALO),2024,5
108,STERLING PLACE REHABS (STERLING-BUFFALO),2025,3
109,SUTTER AVENUE-UNION STREET,2016,1
110,SUTTER AVENUE-UNION STREET,2024,13
111,SUTTER AVENUE-UNION STREET,2025,6
112,TAPSCOTT STREET REHAB,2024,1
113,TAPSCOTT STREET REHAB,2025,4
114,TWIN PARKS WEST (SITES 1 & 2),2019,3
115,TWIN PARKS WEST (SITES 1 & 2),2023,6
116,UNION AVENUE-EAST 166TH STREET,2009,1
117,UNION AVENUE-EAST 166TH STREET,2010,1
118,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),2021,1
119,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),2022,2
120,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),2023,4
121,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),2024,2
122,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),2022,4
123,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),2023,1
124,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),2024,2
125,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),2021,1
126,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),2023,2
127,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),2025,1
128,WASHINGTON HEIGHTS REHAV PHASE IV (D),2024,1
129,WEST BRIGHTON I,2019,4
130,WEST BRIGHTON I,2025,6
131,WILLIAMS PLAZA,2021,2
132,WILLIAMS PLAZA,2022,1
133,WILLIAMSBURG,2023,1
134,WISE TOWERS,2023,3
135,WISE TOWERS,2024,1
