,level_0,omoid,omonumber,bbl_x,buildingid,boro id,housenumber_x,streetname_x,boro_x,apartment,lifecycle,worktypegeneral,omostatusreason,omoawardamount,omocreatedate,netchangeorders,omoawarddate,isaep,iscommercialdemolition,servicechargeflag,femaeventid,femaevent,omodescription,nta,full_address,Unnamed: 0,bbl_y,bldg#,m,direction,housenumber_y,streetname_y,street_type,zip,index,development,transfer_date,boro_y,units,old_merge,_merge
0,7,5371519,EO08654,3043770001,809554,3,726,STANLEY AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,478,9/28/23,0,11/1/23,,,FALSE,,,"nyc hpd emergency operations division  essential service work  at fire door 2nd from east at south at public hall, 1st story install door clo",East New York-New Lots,726 STANLEY AVENUE,263,3043770001,13,,,726,STANLEY,AVENUE,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
1,667,5298572,EN12278,3043710001,809926,3,245,WORTMAN AVENUE,BROOKLYN,13D,Standing Building,DELEAD,OMO Completed,32,11/22/22,0,11/22/22,,,FALSE,,,perform total lead analysis of 04 dust wipe sample(s) via environmental protection agency (epa) sw8463050b-7000b method utilizing flame atomic absorpt,East New York,245 WORTMAN AVENUE,897,3043710001,5,M,,245,WORTMAN,AVENUE,11207,917,LINDEN,12/28/21,BROOKLYN,1586,both,both
2,4243,5301673,EN13170,3037250001,808855,3,320,MILLER AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,"1,500",12/5/22,0,12/8/22,,,FALSE,,,"nyc hpd emergency operations division   essential service work  -at vestibule door, properly install 1 heavy duty hydraulic door closer at b",East New York (North),320 MILLER AVENUE,505,3037250001,10,M,,320,MILLER,AVENUE,11207,544,FIORENTINO PLAZA,12/28/21,BROOKLYN,160,both,both
3,4277,5353121,EO02877,1021110041,43031,1,463,WEST 164 STREET,MANHATTAN,,Standing Building,GC,OMO Completed,968,8/2/23,0,8/7/23,,,FALSE,,,"nyc hpd emergency operations division  essential service work  at building entrance, properly replace the broken saddle at building entrance",Washington Heights (South),463 WEST 164 STREET,1232,1021110041,5,M,WEST,463,164,STREET,10032,1277,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),11/30/20,MANHATTAN,88,both,both
4,4288,5353128,EO02882,1021320094,43298,1,509,WEST 176 STREET,MANHATTAN,,Standing Building,GC,Owner Refused Access,"1,240",8/2/23,0,8/7/23,,,TRUE,,,nyc hpd emergency operations division  essential service work  at building entrance door properly install 1 heavy duty hydraulic door closer,Washington Heights (South),509 WEST 176 STREET,1228,1021320094,5,M,WEST,509,176,STREET,10033,1273,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),11/30/20,MANHATTAN,216,both,both
5,4579,5383993,EO12280,3037250001,808856,3,330,MILLER AVENUE,BROOKLYN,,Standing Building,GC,Duplicate OMO,0,11/3/23,0,,,,FALSE,,,"nyc hpd emergency operations division   essential service work  at building front entrance , 1st story install heavy duty door closer, make a",East New York (North),330 MILLER AVENUE,516,3037250001,9,,,330,MILLER,AVENUE,11207,544,FIORENTINO PLAZA,12/28/21,BROOKLYN,160,both,both
6,5601,5353460,EO02995,1020370011,847377,1,2650,ADAM C POWELL BOULEVARD,MANHATTAN,,Standing Building,GC,OMO Completed,"1,190",8/2/23,0,8/8/23,,,FALSE,,,"nyc hpd emergency operations division   essential service work  at compactor room, public hall, 2nd story section ''p'' demo and completely remove",Harlem (North),2650 ADAM C POWELL BOULEVARD,543,1020370011,2,,,2650,ADAM C POWELL,BOULEVARD,10039,570,HARLEM RIVER,2/17/22,MANHATTAN,577,both,both
7,6839,4951769,EK24657,4160020001,811183,4,434,BEACH 58 STREET,QUEENS,,Standing Building,GC,OMO Completed,300,4/10/20,0,4/28/20,,,FALSE,,,"scope of work- install hinges to make door self-closing at public hall, 3rd story. total doors= (1) note: self-closing door hinges to be instal",Hammels-Arverne-Edgemere,434 BEACH 58 STREET,979,4160020001,24,M,,434,BEACH 58,STREET,11692,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,both
8,7686,5330397,EN24325,1020370011,847377,1,2650,ADAM C POWELL BOULEVARD,MANHATTAN,,Standing Building,GC,Owner Refused Access,"2,300",4/10/23,0,4/15/23,,,TRUE,,,"make all necessary repairs to replace broken/defective door and jamb with new properly fire rated door and jamb similar to existing, complete with sel",Central Harlem North-Polo Grounds,2650 ADAM C POWELL BOULEVARD,543,1020370011,2,,,2650,ADAM C POWELL,BOULEVARD,10039,570,HARLEM RIVER,2/17/22,MANHATTAN,577,both,both
9,9324,4886883,EK13839,4160010002,811145,4,51-45,ALMEDA AVENUE,QUEENS,,Standing Building,GC,OMO Completed,165,12/10/19,0,12/11/19,,,FALSE,,,"(1)door arrange and make self-closing the door fire door (b) at public hall, 2nd story installation of self-closing door hinges : per local law 1",Hammels-Arverne-Edgemere,51-45 ALMEDA AVENUE,986,4160010002,8,M,,51-45,ALMEDA,AVENUE,11691,996,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,both
