,development_name,boro,total_units,transferred_date,full_address,omoid,omonumber,buildingid,boro id,apartment,lifecycle,worktypegeneral,omostatusreason,omoawardamount,omocreatedate,netchangeorders,omoawarddate,isaep,iscommercialdemolition,servicechargeflag,femaeventid,femaevent,omodescription,nta
0,104-14 TAPSCOTT STREET,BROOKLYN,30,11/28/23,104 TAPSCOTT STREET,5436197,EO29556,380678,3,,Standing Building,GC,No Access,490,4/19/24,0,4/26/24,,,TRUE,,,"nyc hpd emergency operations division   essential service work  at building entrance door, 1st story - repairing door in-order to make door sel",Brownsville
1,104-14 TAPSCOTT STREET,BROOKLYN,30,11/28/23,104 TAPSCOTT STREET,5529876,EP28137,380678,3,,Standing Building,GC,,2680,5/28/25,0,6/7/25,,,FALSE,,,"repair stairs, bldg entrance door and yard door 1st stopry hpd nyc emergency operations division -essential service work. ---building entrance",Brownsville
2,ARMSTRONG I,BROOKLYN,371,2/12/20,310 LEXINGTON AVENUE,5246888,EM21130,325052,3,,Standing Building,GC,No Access,250.25,3/31/22,0,3/31/22,,,TRUE,,,nyc hpd emergency operations division - ''essential service work'' 310 lexington avenue 4th str (total 1 door) at 4th str fire stairs door. mak,Bedford
3,ARMSTRONG I,BROOKLYN,371,2/12/20,330 LEXINGTON AVENUE,5236638,EM18044,325055,3,4C,Standing Building,GC,No Access,250.25,2/22/22,0,2/23/22,,,TRUE,,,nyc - ''essential hpd emergency operations service work'' division install hinges to make door self-closing arrange and make self-closing the,Bedford
4,ARMSTRONG I,BROOKLYN,371,2/12/20,441 GATES AVENUE,5047148,EL10730,995621,3,,Standing Building,GC,Refused Access,777,12/16/20,0,2/16/21,,,TRUE,,,'' nyc hpd emerency operations division '' at vestibule area: replace with new the loose/broken sidelite with similar to existing. ensur,
5,ARMSTRONG II,BROOKLYN,248,2/12/20,360 LEXINGTON AVENUE,5113589,EL20795,325059,3,1D,Standing Building,GC,Tenant Refused Access,1680,4/15/21,0,4/22/21,,,TRUE,,,"at 360 lexington ave at apt#1d at kitchen trace and repair leaks from above,ensure no leak return. demolish and repair damaged surface(ceiling",Bedford
6,ARMSTRONG II,BROOKLYN,248,2/12/20,775 MARCY AVENUE,5540157,EQ03086,808795,3,2A,Standing Building,GC,No Access,780,8/4/25,0,8/14/25,,,TRUE,,,"floor repairs nyc hpd emergency operations division- essential service work at apt. 2a. 2nd. story, in the kitchen, properly remove defective lam",Bedford-Stuyvesant (West)
7,BAYCHESTER,BRONX,441,12/27/18,1870 SCHIEFFELIN AVENUE,4894068,EK15292,806902,2,2C,Standing Building,GC,OMO Completed,275,12/20/19,0,1/8/20,,,FALSE,,,"scope of work: install hinges to make door self-closing at apartment entrance located at apt 2c, 2nd story, 2nd apartment from north at east. total d",Eastchester-Edenwald-Baychester
8,BELMONT-SUTTER AREA,BROOKLYN,72,12/28/21,455 BARBEY STREET,5469243,EP03946,807674,3,,Standing Building,GC,OMO Completed,2500,8/13/24,0,8/19/24,,,FALSE,,,repairing bldg ent door & intercom system. ***nyc hpd emergency operations division  ''essential service work''*** at bldg ent door & intercom.,East New York (North)
9,BELMONT-SUTTER AREA,BROOKLYN,72,12/28/21,418 JEROME STREET,5540285,EQ03158,808609,3,,Standing Building,GC,,2345,8/5/25,0,8/14/25,,,FALSE,,,"location : at vestibule door at public hall, 1st story nyc hpd emergency operations division  essential service work- install new fire rated do",East New York (North)
10,BELMONT-SUTTER AREA,BROOKLYN,72,12/28/21,418 JEROME STREET,5461688,EP01432,808609,3,,Standing Building,GC,OMO Completed,1240,7/15/24,0,7/31/24,,,FALSE,,,"nyc hpd emergency operations division   essential service work  at building entrance door , 1st story repairs to make door self closed and latch",East New York (North)
11,BELMONT-SUTTER AREA,BROOKLYN,72,12/28/21,418 JEROME STREET,5469242,EP03945,808609,3,,Standing Building,GC,Owner Refused Access,2000,8/13/24,0,8/19/24,,,TRUE,,,at bldg ent door & intercom system. ***nyc hpd emergency operations division  ''essential service work''*** at bldg ent door & intercom. make,East New York (North)
