,development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,no_days_open,one_yr_post_transfer
0,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530223,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-12-06,2024-12-07,12/22/2024,12/15/2024,,,,508.0,9527346.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE KITCHEN LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION ''SOUTH''",2024-12-09,19.0,VIOLATION CLOSED,2025-07-29,Original,Close,N,2024,2024.0,2025-10-06,232.0,2024-11-27
1,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530224,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-12-06,2024-12-07,03/28/2025,03/14/2025,,,,484.0,9527344.0,"§ 329, M/D LAW AND DEPT. RULES AND REGS. PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR MISSING AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
2,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530230,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-12-06,2024-12-07,12/22/2024,12/15/2024,,,,671.0,9527347.0,"§ 27-2033 ADM CODE POST NOTICE, IN FORM APPROVED BY THE DEPARTMENT, STATING THE NAME AND LOCATION OF THE PERSON DESIGNATED BY THE OWNER TO HAVE KEY TO BUILDINGS HEATING SYSTEM MISSING AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
3,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530221,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-12-06,2024-12-06,12/19/2024,12/07/2024,,,,670.0,9525120.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION ''SOUTH''",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,Y,2024,2024.0,2025-10-06,301.0,2024-11-27
4,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530233,380678,390917.0,3,104,104,114,TAPSCOTT STREET,B,2024-12-06,2024-12-07,01/27/2025,01/13/2025,,,,501.0,9527345.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LATCH SET AT 1ST DOOR FROM SOUTH AT WEST LEADING TO WEST YARD AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
6,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17865877,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2025-04-28,2025-04-30,05/14/2025,05/07/2025,,,,510.0,9737918.0,"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE DAMAGE IN THE ENTIRE APARTMENT LOCATED AT APT 3H, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT NORTH",2025-05-01,19.0,VIOLATION CLOSED,2025-09-30,Original,Close,N,2025,2025.0,2025-10-06,152.0,2024-11-27
11,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530227,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-12-06,2024-12-07,03/28/2025,03/14/2025,,,,1501.0,9527344.0,"§ 27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
12,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530228,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-12-06,2024-12-07,03/28/2025,03/14/2025,,,,1506.0,9527344.0,"§ 27-2005 HMC: POST, IN A FORM APPROVED BY THE COMMISSIONER, AND MAINTAIN A NOTICE IN A COMMON AREA OF THE BUILDING REGARDING THE PROCEDURES THAT SHOULD BE FOLLOWED WHEN A GAS LEAK IS SUSPECTED AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
13,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530234,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-12-06,2024-12-07,12/28/2024,12/23/2024,,,,530.0,9527349.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE LATCH SET AT 2ND DOOR FROM SOUTH AT WEST LEADING TO WEST YARD AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
14,104-14 TAPSCOTT STREET,BROOKLYN,30,2023-11-28,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17530235,380678,390917.0,3,104,104,114,TAPSCOTT STREET,B,2024-12-06,2024-12-07,01/27/2025,01/13/2025,,,,501.0,9527345.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LATCH SET AT 2ND DOOR FROM SOUTH AT WEST LEADING TO WEST YARD AT PUBLIC HALL, 1st STORY",2024-12-09,2.0,NOV SENT OUT,2024-12-09,Original,Open,N,2024,2024.0,2025-10-06,301.0,2024-11-27
