,development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,no_days_open
5,104-14 TAPSCOTT STREET,BROOKLYN,30,11/28/23,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,16671018,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-02-13,2024-02-13,06/02/2024,05/19/2024,,,,556.0,8942305.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT CEILING AT PUBLIC HALL, 1st STORY",2024-02-14,2.0,NOV SENT OUT,2024-02-14,Original,Open,N,2024,2024.0,2025-10-06,600.0
7,104-14 TAPSCOTT STREET,BROOKLYN,30,11/28/23,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,16671017,380678,390917.0,3,104,104,114,TAPSCOTT STREET,B,2024-02-13,2024-02-13,04/03/2024,03/20/2024,,,,502.0,8942306.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE APPROXIMATELY 10 SQ FT OF FIRE RETARDANT MATERIAL AT CEILING AT PUBLIC HALL, 1st STORY",2024-02-14,2.0,NOV SENT OUT,2024-02-14,Original,Open,N,2024,2024.0,2025-10-06,600.0
9,104-14 TAPSCOTT STREET,BROOKLYN,30,11/28/23,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17051573,380678,390917.0,3,104,104,114,TAPSCOTT STREET,C,2024-06-16,2024-06-20,07/10/2024,07/05/2024,,,,530.0,9214527.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE PUSH BAR AT DOOR LEADING TO REAR COURT YARD FROM WEST AT SOUTH AND FROM WEST AT NORTH AT PUBLIC HALL, 1st STORY",2024-06-21,2.0,NOV SENT OUT,2024-06-21,Original,Open,N,2024,2024.0,2025-10-06,472.0
10,104-14 TAPSCOTT STREET,BROOKLYN,30,11/28/23,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,17051574,380678,390917.0,3,104,104,114,TAPSCOTT STREET,B,2024-06-16,2024-06-16,08/05/2024,07/22/2024,,,,501.0,9207935.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE HEAVY DUTY MORTISE LOCK AND LATCH SET AT BUILDING FRONT ENTRANCE DOOR , 1st STORY",2024-06-17,2.0,NOV SENT OUT,2024-06-17,Original,Open,N,2024,2024.0,2025-10-06,476.0
19,104-14 TAPSCOTT STREET,BROOKLYN,30,11/28/23,104 TAPSCOTT STREET,104.0,TAPSCOTT STREET,104 TAPSCOTT STREET,16671983,380678,390917.0,3,104,104,114,TAPSCOTT STREET,A,2024-02-14,2024-02-14,06/03/2024,05/20/2024,,,,502.0,8944026.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL TILE FLOOR IN THE 1st ROOM FROM EAST LOCATED AT APT 2H, 2nd STORY, 4th APARTMENT FROM SOUTH AT WEST",2024-02-15,2.0,NOV SENT OUT,2024-02-15,Original,Open,N,2024,2024.0,2025-10-06,599.0
44,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16150994,603,144838.0,1,344,334,350,EAST 28 STREET,C,2023-08-09,2023-08-09,09/10/2023,09/05/2023,,,,569.0,8593530.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-08-10,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2023,2023.0,2025-10-06,788.0
46,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16678602,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-02-16,2024-02-16,04/09/2024,03/26/2024,,,,501.0,8947290.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE ELECTRICAL OUTLET AT WEST WALL IN THE 7th ROOM FROM NORTH LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-02-20,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,587.0
47,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16678600,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-02-16,2024-02-16,04/09/2024,03/26/2024,,,,529.0,8947290.0,"§ 27-2005 HMC: REFIT ENTRANCE DOOR IN THE 1st ROOM FROM NORTH LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-02-20,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,587.0
48,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,15755632,603,144838.0,1,344,334,350,EAST 28 STREET,C,2023-03-03,2023-03-04,03/16/2023,03/04/2023,,,,670.0,8312049.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE BATHROOM LOCATED AT APT 24F, 25th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-03-06,19.0,VIOLATION CLOSED,2024-05-17,Original,Close,Y,2023,2023.0,2025-10-06,438.0
61,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,15664620,603,144838.0,1,344,334,350,EAST 28 STREET,C,2023-01-15,2023-01-15,01/30/2023,01/23/2023,,,,502.0,8252992.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE ROTTED WOOD FLOOR IN THE KITCHEN LOCATED AT APT APT9D9, 9th STORY, 1st APARTMENT FROM NORTH AT EAST",2023-01-17,19.0,VIOLATION CLOSED,2024-05-17,Original,Close,N,2023,2023.0,2025-10-06,486.0
