,Unnamed: 0,bbl,bldg#,m,direction,house_num,street_name,street_type,zip,full_address,index,development,transfer_date,borough,units,_merge,violationid,buildingid,registrationid,boroid,bin,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year
364,57,3018080174,8,M,,435,GATES,AVENUE,11216,435 GATES AVENUE,61,ARMSTRONG I,2/12/20,BROOKLYN,371,both,11228704,299413,389239.0,3,3322227.0,435,435,435,GATES AVENUE,C,2016-05-09,2016-05-12,05/25/2016,05/20/2016,,,,596.0,5428382.0,"§ 27-2026 ADM CODE REPLACE THE BROKEN OR DEFECTIVE WATER CLOSET IN THE BATHROOM LOCATED AT APT 4B, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2016-05-12,19.0,VIOLATION CLOSED,05/19/2016,Original,Close,Y,2016,2016.0
365,57,3018080174,8,M,,435,GATES,AVENUE,11216,435 GATES AVENUE,61,ARMSTRONG I,2/12/20,BROOKLYN,371,both,11228708,299413,389239.0,3,3322227.0,435,435,435,GATES AVENUE,B,2016-05-09,2016-05-12,06/30/2016,06/16/2016,,,,550.0,5428381.0,"§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING, 20 SQUARE FEET IN THE BATHROOM LOCATED AT APT 4B, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2016-05-12,19.0,VIOLATION CLOSED,05/19/2016,Original,Close,N,2016,2016.0
366,57,3018080174,8,M,,435,GATES,AVENUE,11216,435 GATES AVENUE,61,ARMSTRONG I,2/12/20,BROOKLYN,371,both,11228744,299413,389239.0,3,3322227.0,435,435,435,GATES AVENUE,B,2016-05-09,2016-05-20,07/11/2016,06/27/2016,,,,502.0,5434861.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR AT NORTH IN THE 3rd ROOM FROM EAST LOCATED AT APT 4B, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2016-05-23,19.0,VIOLATION CLOSED,04/18/2022,Original,Close,N,2016,2016.0
367,57,3018080174,8,M,,435,GATES,AVENUE,11216,435 GATES AVENUE,61,ARMSTRONG I,2/12/20,BROOKLYN,371,both,11228746,299413,389239.0,3,3322227.0,435,435,435,GATES AVENUE,A,2016-05-09,2016-05-20,09/09/2016,08/26/2016,,,,502.0,5434860.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL TILES AT FLOOR AT NORTH IN THE 3rd ROOM FROM EAST LOCATED AT APT 4B, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2016-05-23,19.0,VIOLATION CLOSED,04/18/2022,Original,Close,N,2016,2016.0
369,57,3018080174,8,M,,435,GATES,AVENUE,11216,435 GATES AVENUE,61,ARMSTRONG I,2/12/20,BROOKLYN,371,both,11228724,299413,389239.0,3,3322227.0,435,435,435,GATES AVENUE,B,2016-05-09,2016-05-20,07/11/2016,06/27/2016,,,,502.0,5434861.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR AT WEST IN THE 5th ROOM FROM EAST LOCATED AT APT 4B, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2016-05-23,19.0,VIOLATION CLOSED,04/18/2022,Original,Close,N,2016,2016.0
370,57,3018080174,8,M,,435,GATES,AVENUE,11216,435 GATES AVENUE,61,ARMSTRONG I,2/12/20,BROOKLYN,371,both,11228727,299413,389239.0,3,3322227.0,435,435,435,GATES AVENUE,A,2016-05-09,2016-05-20,09/09/2016,08/26/2016,,,,502.0,5434860.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL TILES AT FLOOR, AT WEST IN THE 5th ROOM FROM EAST LOCATED AT APT 4B, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2016-05-23,19.0,VIOLATION CLOSED,04/18/2022,Original,Close,N,2016,2016.0
371,57,3018080174,8,M,,435,GATES,AVENUE,11216,435 GATES AVENUE,61,ARMSTRONG I,2/12/20,BROOKLYN,371,both,11228751,299413,389239.0,3,3322227.0,435,435,435,GATES AVENUE,A,2016-05-09,2016-05-12,08/29/2016,08/15/2016,,,,506.0,5428380.0,"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING DRAWER AT BASE CABINET IN THE KITCHEN LOCATED AT APT 4B, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2016-05-12,19.0,VIOLATION CLOSED,05/19/2016,Original,Close,N,2016,2016.0
372,57,3018080174,8,M,,435,GATES,AVENUE,11216,435 GATES AVENUE,61,ARMSTRONG I,2/12/20,BROOKLYN,371,both,11228755,299413,389239.0,3,3322227.0,435,435,435,GATES AVENUE,A,2016-05-09,2016-05-12,08/29/2016,08/15/2016,,,,556.0,5428380.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND CEILING IN THE ENTIRE APARTMENT LOCATED AT APT 4B, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2016-05-12,19.0,VIOLATION CLOSED,05/19/2016,Original,Close,N,2016,2016.0
373,57,3018080174,8,M,,435,GATES,AVENUE,11216,435 GATES AVENUE,61,ARMSTRONG I,2/12/20,BROOKLYN,371,both,11228757,299413,389239.0,3,3322227.0,435,435,435,GATES AVENUE,A,2016-05-09,2016-05-12,08/29/2016,08/15/2016,,,,502.0,5428380.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD DOOR IN THE ENTRANCE IN THE 3rd ROOM FROM EAST LOCATED AT APT 4B, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2016-05-12,19.0,VIOLATION CLOSED,05/19/2016,Original,Close,N,2016,2016.0
374,57,3018080174,8,M,,435,GATES,AVENUE,11216,435 GATES AVENUE,61,ARMSTRONG I,2/12/20,BROOKLYN,371,both,11228767,299413,389239.0,3,3322227.0,435,435,435,GATES AVENUE,A,2016-05-09,2016-05-18,09/05/2016,08/22/2016,,,,501.0,5432823.0,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE BELL/BUZZER, INTERCOM FROM BUILDING ENTRANCE TO APARTMENT LOCATED AT APT 4B, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2016-05-19,19.0,VIOLATION CLOSED,05/19/2016,Original,Close,N,2016,2016.0
