development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17634265,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-01-16,2025-01-17,03/11/2025,02/25/2025,,,03/11/2025,593.0,9586886.0,"§ 27-2026 ADM CODE REPAIR THE FLUSHING APPARATUS AND MAINTAIN SAME SO AS TO FLUSH EFFECTIVELY THE WATER CLOSET ... IN THE BATHROOM LOCATED AT APT 4H, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-01-21,9.0,VIOLATION DISMISSED,05/22/2025,Original,Close,Y,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17496177,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2024-12-02,2024-12-02,12/22/2024,12/17/2024,,,,530.0,9496405.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES IN THE ENTRANCE LOCATED AT APT 15D, 15th STORY, 1st APARTMENT FROM SOUTH AT WEST",2024-12-03,19.0,VIOLATION CLOSED,02/22/2025,Original,Close,N,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17496178,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,A,2024-12-02,2024-12-02,03/22/2025,03/08/2025,,,03/21/2025,484.0,9496400.0,"§ 329, M/D LAW AND DEPT. RULES AND REGS. PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR THAT IS MISSING AT PUBLIC HALL",2024-12-03,9.0,VIOLATION DISMISSED,06/02/2025,Original,Close,N,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17422998,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2024-11-16,2024-11-15,12/01/2024,11/24/2024,,,11/26/2024,671.0,9430554.0,"§ 27-2033 ADM CODE POST NOTICE, IN FORM APPROVED BY THE DEPARTMENT, STATING THE NAME AND LOCATION OF THE PERSON DESIGNATED BY THE OWNER TO HAVE KEY TO BUILDINGS HEATING SYSTEM MISSING SIGN",2024-11-18,9.0,VIOLATION DISMISSED,02/06/2025,Original,Close,N,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17624537,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-15,2025-01-15,01/28/2025,01/16/2025,,,01/27/2025,666.0,9581774.0,"§ 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 4L , 4th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-01-16,9.0,VIOLATION DISMISSED,04/09/2025,Original,Close,Y,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17628045,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-16,2025-01-16,01/30/2025,01/23/2025,,,01/27/2025,672.0,9584434.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM LOCKED DOOR AT BOILER ROOM,2025-01-17,9.0,VIOLATION DISMISSED,04/09/2025,Original,Close,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17624536,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2025-01-15,2025-01-15,01/29/2025,01/22/2025,,,01/27/2025,672.0,9582159.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCKED AT BOILER ROOM,2025-01-16,9.0,VIOLATION DISMISSED,04/09/2025,Original,Close,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17529998,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2024-12-06,2024-12-06,12/19/2024,12/07/2024,,,12/13/2024,666.0,9524921.0,"§ 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 18D, 18th STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ''SOUTH''",2024-12-09,9.0,VIOLATION DISMISSED,02/19/2025,Original,Close,Y,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17530000,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2024-12-06,2024-12-06,12/19/2024,12/07/2024,,,12/13/2024,666.0,9524921.0,"§ 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 17D, 17th STORY, 1st APARTMENT FROM SOUTH AT WEST",2024-12-09,9.0,VIOLATION DISMISSED,02/24/2025,Original,Close,Y,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17633893,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-01-16,2025-01-17,03/11/2025,02/25/2025,,,03/11/2025,508.0,9586887.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE BATHROOM LOCATED AT APT 2H, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-01-21,9.0,VIOLATION DISMISSED,05/22/2025,Original,Close,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18221489,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,A,2025-09-05,2025-09-08,12/27/2025,12/13/2025,,,,556.0,9984295.0,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT CEILING 1ST STORY PUBLIC HALL , 1st STORY",2025-09-09,2.0,NOV SENT OUT,09/09/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,18221488,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,B,2025-09-05,2025-09-08,10/28/2025,10/14/2025,,,,502.0,9984296.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT CEILING 1ST PUBLIC HALL , 1st STORY",2025-09-09,2.0,NOV SENT OUT,09/09/2025,Original,Open,N,2025,2025.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17422988,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2024-11-15,2024-11-15,11/28/2024,11/16/2024,,,11/26/2024,670.0,9430005.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 20K, 20th STORY, 1st APARTMENT FROM NORTH AT EAST",2024-11-18,9.0,VIOLATION DISMISSED,02/06/2025,Original,Close,Y,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17422989,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2024-11-15,2024-11-15,12/07/2024,12/02/2024,,,12/06/2024,530.0,9430555.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES AT DOOR IN THE ENTRANCE LOCATED AT APT 20K, 20th STORY, 1st APARTMENT FROM NORTH AT EAST",2024-11-18,19.0,VIOLATION CLOSED,12/18/2024,Original,Close,N,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17422990,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2024-11-16,2024-11-15,12/07/2024,12/02/2024,,,12/06/2024,530.0,9430556.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE LATCH SET AT FIRE-STAIRS DOOR ''''A'''' 20TH STORY",2024-11-18,19.0,VIOLATION CLOSED,12/18/2024,Original,Close,N,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17422992,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2024-11-16,2024-11-15,12/07/2024,12/02/2024,,,12/06/2024,530.0,9430556.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE LATCH SET AT FIRE-STAIRS DOOR ''''B'''' 20TH STORY",2024-11-18,19.0,VIOLATION CLOSED,12/24/2024,Original,Close,N,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17422996,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2024-11-16,2024-11-15,12/01/2024,11/24/2024,,,11/27/2024,502.0,9430554.0,§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CRACKED LOWER MESH-WIRING GLASS LITE AT PUBLIC HALLWAY WINDOW ( BY UNIT 20K ) AT 20TH STORY ( CUT HAZARD),2024-11-18,9.0,VIOLATION DISMISSED,02/07/2025,Original,Close,N,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17423001,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,A,2024-11-16,2024-11-15,03/07/2025,02/21/2025,,,03/06/2025,722.0,9430552.0,"§ 27-2053 ADM CODE POST SIGN ON WALL OF ENTRANCE STORY BEARING NAME, ADDRESS INCLUDING APARTMENT NUMBER IF ANY, AND TELEPHONE NUMBER OF SUPERINTENDENT, JANITOR OR HOUSEKEEPER.",2024-11-18,9.0,VIOLATION DISMISSED,05/19/2025,Original,Close,N,2024,2024.0
BOSTON ROAD PLAZA,BRONX,235,9/26/24,2440 BOSTON ROAD,2440.0,BOSTON ROAD,2440 BOSTON ROAD,17496168,50509,229057.0,2,2440,2430,2456,BOSTON ROAD,C,2024-12-02,2024-12-02,12/15/2024,12/03/2024,,,12/12/2024,670.0,9496031.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 2J, 2nd STORY, 6th APARTMENT FROM WEST AT NORTH",2024-12-03,19.0,VIOLATION CLOSED,12/26/2024,Original,Close,Y,2024,2024.0
