,full_address,A,B,C,I,,,,,,
0,133 WEST 90 STREET,50,104,86,,,,,,,
1,56-10 BEACH CHANNEL DRIVE,15,39,77,1,,,,,,
2,330 MILLER AVENUE,29,111,62,,,,,,,
3,881 SCHENCK AVENUE,9,30,59,21,,,,,,
4,1598 STERLING PLACE,24,55,57,,,,,,,
5,111 WEST 90 STREET,30,31,55,,,,,,,
6,1170 229 DRIVE SOUTH,28,20,54,,,,,,,
7,2621 ADAM C POWELL BOULEVARD,18,46,54,2,,,,,,
8,1970 AMSTERDAM AVENUE,26,57,52,2,,,,,,
9,2440 BOSTON ROAD,9,17,52,,,,,,,
10,439 BEACH 54 STREET,3,11,50,,,,,,,
11,692 RALPH AVENUE,58,28,49,,,,,0.26534296,,
12,245 WORTMAN AVENUE,53,71,49,,,,,0.358333333,,
13,2058 UNION STREET,34,27,48,2,,,,,,
14,2449 ADAM C POWELL BOULEVARD,12,20,48,,,,,,,
15,875 PENNSYLVANIA AVENUE,61,40,45,1,,,,,,
16,185 WORTMAN AVENUE,21,39,44,,,,,,,
17,511 WEST 177 STREET,20,42,44,1,,,,,,
18,710 CROES AVENUE,19,30,43,,,,,,,
19,234 GROVE STREET,22,39,43,1,,,,,,
20,807 SCHENCK AVENUE,29,44,43,1,,,,,,
21,54-41 ALMEDA AVENUE,37,31,42,,,,,,,
22,357 WORTMAN AVENUE,9,20,42,1,,,,ordernumber,description,count
23,344 EAST 28 STREET,12,53,41,1,,,,508,"¤ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A
  UNIFORM COLOR",1393
24,139 HARMAN STREET,3,6,41,1,,,,530,"¤ 27-2005, 2007 ADM CODE  ARRANGE AND MAKE SELF-CLOSING THE DOORS",1295
25,460 EAST 147 STREET,5,26,40,,,,,501,¤ 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE,891
26,160 MENAHAN STREET,21,14,40,1,,,,556,"¤ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS
  DEPARTMENT",714
27,320 MILLER AVENUE,28,38,39,,,,,1507,?,676
28,2650 ADAM C POWELL BOULEVARD,34,26,39,1,,,,568,¤ 27-2018 ADMIN. CODE:  ABATE THE INFESTATION CONSISTING OF ROACHES,673
29,2465 ADAM C POWELL BOULEVARD,5,9,39,,,,,550,¤  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ...,596
30,773 STANLEY AVENUE,12,37,38,,,,,502,¤ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE,593
31,2641 ADAM C POWELL BOULEVARD,15,26,38,1,,,,583,"¤ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK",526
32,545 WEST 156 STREET,35,23,38,,,,,672,¤  27-2033 ADM CODE  PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM,521
33,1470 AMSTERDAM AVENUE,33,52,37,1,,,,,,
34,1474 PARK PLACE,33,30,37,,,,,,,
35,2620 ADAM C POWELL BOULEVARD,9,19,37,1,,,,,,
36,521 EAST 145 STREET,7,19,36,,,,,,,
37,1165 EAST 229 STREET,31,37,35,,,,,,,
38,51-45 ALMEDA AVENUE,31,35,35,,,,,,,
39,1430 AMSTERDAM AVENUE,19,34,35,1,,,,,,
40,1448 STERLING PLACE,24,29,33,,,,,,,
41,44 MACOMBS PLACE,16,13,33,1,,,,,,
42,141 WEST 142 STREET,10,11,33,1,,,,,,
43,245 COZINE AVENUE,14,27,32,,,,,,,
44,1138 229 DRIVE SOUTH,22,28,32,,,,,,,
45,56-16 BEACH CHANNEL DRIVE,17,55,32,,,,,,,
46,124 MAUJER STREET,21,17,31,1,,,,,,
47,270 WORTMAN AVENUE,27,12,31,,,,,,,
48,1578 STERLING PLACE,8,10,30,,,,,,,
49,2041 PACIFIC STREET,26,35,30,,,,,,,
50,190 WORTMAN AVENUE,20,17,30,,,,,,,
51,215 COZINE AVENUE,18,27,30,,,,,,,
52,208 ROCHESTER AVENUE,15,29,30,,,,,,,
53,2850 FREDERICK DOUGLASS BOULEVARD,31,37,29,1,,,,,,
54,509 WEST 176 STREET,9,31,29,,,,,,,
55,131 WEST 143 STREET,4,9,28,,,,,,,
56,775 MARCY AVENUE,65,30,27,,,,,,,
57,2202 LINDEN BOULEVARD,15,18,27,1,,,,,,
58,2473 ADAM C POWELL BOULEVARD,1,1,27,,,,,,,
59,1961 SCHIEFFELIN AVENUE,10,12,27,,,,,,,
60,682 RALPH AVENUE,22,12,26,,,,,,,
61,2065 DEAN STREET,17,23,26,,,,,,,
62,1484 PARK PLACE,22,14,26,,,,,,,
63,54-15 ALMEDA AVENUE,19,25,26,,,,,,,
64,480 EAST 143 STREET,7,14,26,2,,,,,,
65,457 WEST 164 STREET,15,47,26,,,,,,,
66,400 BROOK AVENUE,17,31,25,,,,,,,
67,145 WEST 143 STREET,10,8,25,,,,,,,
68,221 WEST 152 STREET,14,15,25,1,,,,,,
69,955 RUTLAND ROAD,9,8,25,,,,,,,
70,2150 LINDEN BOULEVARD,6,20,24,,,,,,,
71,640 STANLEY AVENUE,7,12,24,,,,,,,
72,1195 EAST 225 STREET,2,10,24,,,,,,,
73,2441 ADAM C POWELL BOULEVARD,14,6,24,1,,,,,,
74,1640 STERLING PLACE,6,45,24,,,,,,,
75,570 STANLEY AVENUE,24,41,24,,,,,,,
76,225 WORTMAN AVENUE,16,29,23,,,,,,,
77,505 EAST 144 STREET,8,14,23,,,,,,,
78,550 EAST 147 STREET,12,31,23,,,,,,,
79,365 EAST 183 STREET,9,37,23,,,,,,,
80,765 STANLEY AVENUE,6,29,23,,,,,,,
81,51-24 BEACH CHANNEL DRIVE,7,18,22,,,,,,,
82,463 WEST 164 STREET,10,13,22,,,,,,,
83,113 WEST 144 STREET,4,11,21,,,,,,,
84,2340 AMSTERDAM AVENUE,19,14,20,,,,,,,
85,162 WEST 144 STREET,5,5,20,,,,,,,
86,1160 229 DRIVE SOUTH,18,13,20,,,,,,,
87,3550 BIVONA STREET,,7,20,,,,,,,
88,324 HOWARD AVENUE,15,25,20,,,,,,,
89,817 SCHENCK AVENUE,17,34,20,,,,,,,
90,434 BEACH 58 STREET,13,16,19,,,,,,,
91,54-22 BEACH CHANNEL DRIVE,6,3,19,,,,,,,
92,725 STANLEY AVENUE,29,36,19,,,,,,,
93,175 TAPSCOTT STREET,30,28,19,,,,,,,
94,51-32 BEACH CHANNEL DRIVE,3,23,18,,,,,,,
95,409 BEACH 51 STREET,3,12,18,,,,,,,
96,455 EAST 146 STREET,11,20,18,,,,,,,
97,1468 PARK PLACE,25,11,18,,,,,,,
98,215 SCHOLES STREET,12,29,18,,,,,,,
99,196 MAUJER STREET,3,,18,,,,,,,
100,698 RALPH AVENUE,23,11,17,,,,,,,
101,726 STANLEY AVENUE,12,7,17,,,,,,,
102,515 WEST 134 STREET,5,18,17,,,,,,,
103,220 LINDEN STREET,22,28,17,1,,,,,,
104,115 EAST 122 STREET,7,28,17,1,,,,,,
105,416 EAST 137 STREET,4,8,16,,,,,,,
106,630 STANLEY AVENUE,16,4,16,,,,,,,
107,1504 AMSTERDAM AVENUE,19,28,16,,,,,,,
108,845 SCHENCK AVENUE,5,18,16,,,,,,,
109,1175 EAST 229 STREET,18,27,16,,,,,,,
110,2175 REEDS MILL LANE,5,15,16,,,,,,,
111,184 TAPSCOTT STREET,2,4,15,,,,,,,
112,1077 CASTLETON AVENUE,8,10,15,1,,,,,,
113,2069 UNION STREET,18,5,15,1,,,,,,
114,400 EAST 147 STREET,7,16,15,,,,,,,
115,441 BEACH 51 STREET,2,9,15,,,,,,,
116,740 BEACH AVENUE,,16,15,,,,,,,
117,172 MENAHAN STREET,21,16,15,1,,,,,,
118,148 WEST 144 STREET,4,4,15,,,,,,,
119,112 WEST 139 STREET,3,2,15,,,,,,,
120,778 HENDERSON AVENUE,5,11,15,1,,,,,,
121,1125 229 DRIVE NORTH,25,14,15,,,,,,,
122,1588 STERLING PLACE,12,13,15,,,,,,,
123,285 COZINE AVENUE,20,12,14,,,,,,,
124,3861 BAYCHESTER AVENUE,12,24,14,,,,,,,
125,2219 PITKIN AVENUE,7,45,14,1,,,,,,
126,125 PALMETTO STREET,9,6,14,1,,,,,,
127,1506 STERLING PLACE,10,9,14,,,,,,,
128,87 TEN EYCK WALK,44,2,14,,,,,,,
129,1521 STERLING PLACE,9,7,14,,,,,,,
130,195 COZINE AVENUE,16,7,14,,,,,,,
131,51-49 ALMEDA AVENUE,3,8,14,,,,,,,
132,1155 EAST 225 STREET,2,3,14,,,,,,,
133,511 EAST 146 STREET,10,25,14,,,,,,,
134,514 WEST 177 STREET,6,5,14,,,,,,,
135,1130 226 DRIVE,37,16,14,,,,,,,
136,830 ASHFORD STREET,14,16,14,,,,,,,
137,521 EAST 146 STREET,3,5,14,,,,,,,
